VARIABLE: MSC01.ZT8.107:COUNTS
SINGLE COLUMN CONTINUOUS
DataType: NUMERIC
Unit: count
Description: CHARM SEC1 counts per spill

Timestamp (LOCAL_TIME),Value
2015-06-26 08:00:12.700,14689
2015-06-26 08:00:31.900,14821
2015-06-26 08:00:39.100,14779
2015-06-26 08:00:49.900,15298
2015-06-26 08:01:04.300,15137
2015-06-26 08:01:23.500,14750
2015-06-26 08:01:30.700,14887
2015-06-26 08:01:41.500,15152
2015-06-26 08:01:55.900,15303
2015-06-26 08:02:15.100,14689
2015-06-26 08:02:22.300,15075
2015-06-26 08:02:33.100,15236
2015-06-26 08:02:47.500,14769
2015-06-26 08:03:06.700,14684
2015-06-26 08:03:13.900,15138
2015-06-26 08:03:24.700,14947
2015-06-26 08:03:39.100,14839
2015-06-26 08:03:58.300,14026
2015-06-26 08:04:05.500,14733
2015-06-26 08:04:16.300,15347
2015-06-26 08:04:30.700,15062
2015-06-26 08:04:49.900,14872
2015-06-26 08:04:57.100,14697
2015-06-26 08:05:07.900,14986
2015-06-26 08:05:22.300,15633
2015-06-26 08:05:41.500,14015
2015-06-26 08:05:48.700,15277
2015-06-26 08:05:59.500,15337
2015-06-26 08:06:13.900,15013
2015-06-26 08:06:33.100,14674
2015-06-26 08:06:40.300,14970
2015-06-26 08:06:51.100,15533
2015-06-26 08:07:05.500,15258
2015-06-26 08:07:24.700,14469
2015-06-26 08:07:31.900,15478
2015-06-26 08:07:42.700,14664
2015-06-26 08:07:57.100,14788
2015-06-26 08:08:16.300,14338
2015-06-26 08:08:23.500,14625
2015-06-26 08:08:34.300,14995
2015-06-26 08:08:48.700,15111
2015-06-26 08:09:07.900,15058
2015-06-26 08:09:15.100,14892
2015-06-26 08:09:25.900,15488
2015-06-26 08:09:40.300,15049
2015-06-26 08:09:59.500,14614
2015-06-26 08:10:06.700,15265
2015-06-26 08:10:17.500,15368
2015-06-26 08:10:31.900,15297
2015-06-26 08:10:51.100,14512
2015-06-26 08:10:58.300,14950
2015-06-26 08:11:09.100,15126
2015-06-26 08:11:23.500,14850
2015-06-26 08:11:42.700,13887
2015-06-26 08:11:49.900,14858
2015-06-26 08:12:00.700,14943
2015-06-26 08:12:15.100,15289
2015-06-26 08:12:34.300,15059
